Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Log_Fresh,Log_Milk,Log_Grocery,Log_Frozen,Log_Detergents_Paper,Log_Delicassen
2,3,12669,9656,7561,214,2674,1338,9.446992273315185,9.175438319966918,8.930890984450878,5.3706380281276624,7.891704659330107,7.199678345691172
2,3,7057,9810,9568,1762,3293,1776,8.861917004235215,9.19125948416339,9.166283985779263,7.47477218239787,8.099857910737585,7.482681828154651
2,3,6353,8808,7684,2405,3516,7844,8.756839814829462,9.083529205109796,8.947025655972697,7.785720896534624,8.165363632473982,8.967631665167133
1,3,13265,1196,4221,6404,507,1788,9.492959650085501,7.087573705557973,8.348064228408266,8.764834214330834,6.230481447578482,7.489412083508719
2,3,22615,5410,7198,3915,1777,5185,10.026412899373426,8.596189197642735,8.881697406469304,8.272826003650401,7.48324441607385,8.55371796609861
2,3,9413,8259,5126,666,1795,1451,9.149953221961088,9.019179866515024,8.5422759717837,6.502790045915623,7.493317248862145,7.280697195384741
2,3,12126,3199,6975,480,3140,545,9.403189650656792,8.070906088787819,8.850230965588816,6.175867270105761,8.052296499538647,6.302618975744905
2,3,7579,4956,9426,1669,3321,2566,8.933268478636418,8.508555998020574,9.15133319139615,7.4205789054108005,8.10832229017324,7.8504931808711405
1,3,5963,3648,6192,425,1716,750,8.69349667588463,8.202208436436448,8.731174900938061,6.054439346269371,7.448333860897476,6.621405651764134
2,3,6006,11093,18881,1159,7425,2098,8.700680734850161,9.31415970061518,9.845964366292462,7.05617528410041,8.912742634737025,7.649216319820633
2,3,3366,5403,12974,4400,5977,1744,8.121777419161074,8.59489469908009,9.470779708034089,8.38958706681109,8.695841342843883,7.4645098346365275
2,3,13146,1124,4523,1420,549,497,9.483948874696605,7.025538314638521,8.41715183723601,7.259116128097101,6.309918278226516,6.210600077024653
2,3,31714,12319,11757,287,3881,2931,10.364545034067998,9.41897923708751,9.3722891389622,5.662960480135946,8.264105763728956,7.983440063006542
2,3,21217,6208,14982,3095,6707,602,9.962605157019217,8.733755131364893,9.614671504043145,8.037866234709618,8.8110561229431,6.401917196727186
2,3,24653,9465,12091,294,5058,2168,10.112694438111465,9.155461710466193,9.40029935589935,5.68697535633982,8.528924114291936,7.682021510826875
1,3,10253,1114,3821,397,964,412,9.235423152343646,7.016609683894219,8.248529124800218,5.986452005284438,6.872128101338986,6.023447592961033
2,3,1020,8816,12121,134,4508,1080,6.928537818164665,9.084436955087027,9.402777262511231,4.90527477843843,8.413830678421084,6.985641817639208
1,3,5876,6157,2933,839,370,4478,8.678801706612651,8.725507328484445,7.984121958702927,6.733401891837359,5.916202062607435,8.4071550862073
2,3,18601,6327,10099,2205,2767,3181,9.831024380802413,8.75273950944749,9.22029070282935,7.698936199813447,7.92588031673756,8.065265208897733
1,3,7780,2495,9464,669,2518,501,8.95944014361693,7.822444729489319,9.155356063643422,6.507277712385012,7.831617276352611,6.218600119691729
2,3,17546,4519,4602,1066,2259,2124,9.772638274111136,8.416267272826277,8.434463543817241,6.9726062513017535,7.723120092266331,7.661527081358517
1,3,5567,871,2010,3383,375,569,8.624791202014256,6.77078942390898,7.606387389772652,8.126813720726114,5.929589143389895,6.345636360828596
1,3,31276,1917,4469,9408,2381,4334,10.3506382821314,7.559038255443384,8.405143687607614,9.149421957006766,7.775695749915245,8.374476889214643
2,3,26373,36423,22019,5154,4337,16523,10.180133955367644,10.502983177014618,9.999706410276671,8.54772239645106,8.37516869138682,9.712569148516655
2,3,22647,9776,13792,2915,4482,5778,10.027826826791735,9.18778796750567,9.53191649607552,7.977968093128549,8.40804774415544,8.661985936317778
2,3,16165,4230,7595,201,4003,57,9.69066555029379,8.350193650720067,8.935377071932177,5.308267697401205,8.295049140435111,4.060443010546419
